Fulfil Customer Shipments Fulfil Customer Shipment Number,Fulfil Customer Shipments Create Time,Fulfil Customer Shipments Assigned Time,Fulfil Customer Shipments Picking Started Time,Fulfil Customer Shipments Picked Time,Fulfil Customer Shipments Weight,Fulfil Customer Shipments Shipped Time
CS115791,2022-07-21 10:37:33,2022-07-21 13:55:03,2022-07-21 13:55:12,2022-07-21 13:55:18,264.7,2022-07-22 9:45:02
CS115790,2022-07-21 10:37:26,2022-07-21 10:37:38,2022-07-21 19:31:17,2022-07-21 21:02:56,"2,056.03",
CS115789,2022-07-21 10:37:00,2022-07-21 12:34:13,2022-07-21 12:34:23,2022-07-21 12:34:28,530,
CS115786,2022-07-21 10:35:37,2022-07-21 10:35:40,2022-07-21 14:47:04,2022-07-21 15:43:16,"1,220",2022-07-22 9:39:36
CS115785,2022-07-21 10:25:30,2022-07-21 10:25:36,2022-07-21 15:40:46,2022-07-21 15:53:32,924,2022-07-22 9:10:48
CS115780,2022-07-21 10:17:30,2022-07-21 10:17:35,2022-07-21 14:56:08,2022-07-21 15:53:15,153.66,2022-07-22 10:03:07
CS115779,2022-07-21 10:13:52,2022-07-21 16:41:25,2022-07-21 16:41:41,2022-07-21 16:41:49,266.65,2022-07-22 8:49:02
CS115777,2022-07-21 10:13:41,2022-07-21 10:14:05,2022-07-21 13:01:52,2022-07-21 14:16:40,"1,142.10",2022-07-22 8:49:15
CS115775,2022-07-21 9:57:33,2022-07-21 9:57:51,2022-07-21 12:37:20,2022-07-21 13:22:13,"2,724",2022-07-22 8:37:37
CS115774,2022-07-21 9:52:55,2022-07-21 9:53:03,2022-07-21 18:24:11,2022-07-21 18:35:22,437.97,
CS115769,2022-07-21 9:41:56,2022-07-21 9:42:08,2022-07-21 10:37:55,2022-07-21 10:46:39,689.48,2022-07-22 6:57:21
CS115768,2022-07-21 9:36:08,2022-07-21 11:23:24,2022-07-21 11:23:26,2022-07-21 11:23:28,55,
CS115767,2022-07-21 9:36:05,2022-07-21 9:36:10,2022-07-22 9:33:56,2022-07-22 10:01:30,563.4,
CS115766,2022-07-21 9:32:39,2022-07-21 9:32:43,2022-07-21 14:49:36,2022-07-21 14:49:51,987.28,2022-07-22 9:03:44
CS115761,2022-07-21 9:25:40,2022-07-21 9:25:45,2022-07-21 10:22:39,2022-07-21 10:33:09,108,2022-07-22 7:52:09
CS115759,2022-07-21 9:21:04,2022-07-21 9:21:08,2022-07-21 10:30:21,2022-07-21 11:25:22,"1,070.40",2022-07-22 8:24:19
CS115756,2022-07-21 9:11:02,2022-07-21 9:11:04,2022-07-21 9:27:44,2022-07-21 9:35:30,1.7,2022-07-21 17:33:46
CS115754,2022-07-21 9:05:17,2022-07-21 9:05:22,2022-07-21 14:31:12,2022-07-21 14:46:40,891.26,2022-07-22 9:54:51
CS115753,2022-07-21 9:02:15,2022-07-21 9:02:18,2022-07-22 6:14:37,2022-07-22 7:01:27,"2,319",
CS115748,2022-07-21 8:52:53,2022-07-21 8:53:02,2022-07-21 10:04:55,2022-07-21 10:18:18,556,2022-07-21 15:44:24
CS115743,2022-07-21 8:39:28,2022-07-21 8:39:31,2022-07-21 9:36:04,2022-07-21 10:25:53,585.2,2022-07-21 17:43:16
CS115741,2022-07-21 8:29:53,2022-07-21 8:29:57,2022-07-21 12:33:08,2022-07-21 13:32:11,989.48,2022-07-22 7:53:33
CS115733,2022-07-21 8:16:49,2022-07-21 8:16:58,2022-07-21 10:19:01,2022-07-21 10:36:35,416,2022-07-21 15:55:26
CS115730,2022-07-21 8:07:41,2022-07-21 8:07:50,2022-07-21 8:08:27,2022-07-21 9:07:26,26.67,2022-07-21 13:46:50
CS115725,2022-07-21 8:01:39,2022-07-21 8:01:42,2022-07-21 9:39:40,2022-07-21 10:42:12,445,2022-07-21 17:25:26
CS115724,2022-07-21 7:53:55,2022-07-21 7:53:59,2022-07-21 9:27:54,2022-07-21 10:11:22,263.56,2022-07-21 16:37:04
CS115723,2022-07-21 7:53:33,2022-07-21 7:53:38,2022-07-21 9:00:31,2022-07-21 13:20:56,289.1,2022-07-21 15:52:30
CS115722,2022-07-21 7:49:32,2022-07-21 7:49:36,2022-07-21 7:54:49,2022-07-21 8:32:56,"1,152",2022-07-21 15:17:16
CS115721,2022-07-21 7:48:07,2022-07-21 7:49:35,2022-07-21 7:54:41,2022-07-21 8:32:42,"3,456",2022-07-21 16:03:20
CS115719,2022-07-21 7:44:14,2022-07-21 7:44:19,2022-07-21 9:28:05,2022-07-21 9:58:08,198,2022-07-21 15:01:13
CS115718,2022-07-21 7:43:39,2022-07-21 7:43:43,2022-07-21 8:16:26,2022-07-21 8:16:29,11.87,2022-07-21 15:30:24
CS115717,2022-07-21 7:38:26,2022-07-21 7:38:30,2022-07-21 9:05:23,2022-07-21 9:18:30,"1,391.20",2022-07-21 13:40:56
CS115716,2022-07-21 7:37:34,2022-07-21 10:30:55,2022-07-21 10:31:01,2022-07-21 10:31:03,"1,247.75",2022-07-21 17:25:00
CS115715,2022-07-21 7:37:29,2022-07-21 7:37:36,2022-07-21 8:01:42,2022-07-21 10:31:18,108.5,2022-07-21 17:24:58
CS115712,2022-07-21 7:25:48,2022-07-21 7:53:15,2022-07-21 9:20:39,2022-07-21 10:42:47,440,2022-07-21 15:26:10
CS115711,2022-07-21 7:25:45,2022-07-21 7:25:50,2022-07-21 8:49:14,2022-07-21 8:54:40,"2,640",2022-07-21 15:57:22
CS115710,2022-07-21 7:14:42,2022-07-21 7:26:48,2022-07-21 7:26:58,2022-07-21 8:27:16,20.15,2022-07-21 10:32:08
CS115708,2022-07-21 6:37:40,2022-07-21 7:49:38,2022-07-21 7:50:30,2022-07-21 7:50:31,0.98,2022-07-21 13:05:24
CS115707,2022-07-21 6:37:36,2022-07-21 6:37:41,2022-07-21 9:19:46,2022-07-21 9:57:27,72.28,2022-07-21 16:27:23
CS115706,2022-07-21 6:12:25,2022-07-21 6:12:37,2022-07-21 9:19:37,2022-07-21 9:57:50,691.5,2022-07-21 14:43:01
CS115705,2022-07-21 6:05:28,2022-07-21 7:37:02,2022-07-21 7:37:04,2022-07-21 7:37:07,5,2022-07-21 9:04:26
CS115704,2022-07-21 6:05:25,2022-07-21 6:05:30,2022-07-21 8:21:24,2022-07-21 8:31:57,10.37,2022-07-21 18:59:57
CS115701,2022-07-20 23:02:36,2022-07-21 7:22:46,2022-07-21 7:22:49,2022-07-21 7:22:51,110,2022-07-21 14:04:36
CS115699,2022-07-20 23:02:32,2022-07-20 23:02:37,2022-07-21 8:35:34,2022-07-21 8:44:46,143,2022-07-21 15:59:15
CS115698,2022-07-20 22:22:21,2022-07-20 22:22:28,2022-07-21 8:35:40,2022-07-21 8:53:50,88.95,2022-07-21 17:33:19
CS115697,2022-07-20 22:08:25,2022-07-20 22:08:33,2022-07-21 8:29:40,2022-07-21 11:38:20,"2,019.40",2022-07-21 15:41:23
CS115696,2022-07-20 21:56:26,2022-07-20 21:56:32,2022-07-21 6:52:41,2022-07-21 7:21:11,156.8,2022-07-21 19:50:42
CS115695,2022-07-20 21:50:00,2022-07-20 21:50:04,2022-07-21 16:08:19,2022-07-21 17:22:39,"1,586.40",2022-07-22 7:51:31
CS115691,2022-07-20 21:19:34,2022-07-20 21:19:37,2022-07-21 8:28:53,2022-07-21 10:15:44,356,2022-07-21 16:18:13
CS115690,2022-07-20 21:13:35,2022-07-20 21:13:43,2022-07-21 6:52:34,2022-07-21 7:21:06,"1,956",2022-07-21 19:50:07
CS115688,2022-07-20 19:54:00,2022-07-20 19:54:04,2022-07-21 8:33:40,2022-07-21 8:44:39,424,2022-07-21 15:32:20
CS115687,2022-07-20 19:47:35,2022-07-20 19:47:40,2022-07-21 8:45:47,2022-07-21 9:26:37,90,2022-07-21 14:28:00
CS115686,2022-07-20 19:39:57,2022-07-20 19:40:03,2022-07-21 8:21:31,2022-07-21 8:32:03,32.8,2022-07-21 19:00:51
CS115683,2022-07-20 18:45:27,2022-07-20 18:45:31,2022-07-21 7:31:19,2022-07-21 7:43:51,44.25,2022-07-21 13:09:40
CS115682,2022-07-20 18:44:14,2022-07-20 18:44:19,2022-07-21 7:24:14,2022-07-21 7:24:16,153,2022-07-21 14:17:50
CS115679,2022-07-20 18:42:10,2022-07-20 19:07:16,2022-07-20 19:07:41,2022-07-20 19:07:42,15,2022-07-21 14:17:52
CS115678,2022-07-20 18:39:43,2022-07-20 20:09:14,2022-07-20 20:09:15,2022-07-20 20:09:16,110,2022-07-21 14:35:58
CS115676,2022-07-20 18:39:39,2022-07-20 18:39:45,2022-07-21 8:15:21,2022-07-21 8:34:54,164.9,2022-07-21 12:14:46
CS115675,2022-07-20 18:13:39,2022-07-20 18:13:43,2022-07-21 7:42:02,2022-07-21 8:04:07,462.78,2022-07-21 15:29:49
CS115674,2022-07-20 18:11:41,2022-07-20 18:11:51,2022-07-21 8:15:27,2022-07-21 8:22:46,105,2022-07-21 13:05:15
CS115673,2022-07-20 18:03:56,2022-07-21 7:48:08,2022-07-21 7:54:56,2022-07-21 8:32:27,"1,728",2022-07-21 15:17:22
CS115672,2022-07-20 17:54:15,2022-07-20 20:07:28,2022-07-20 20:07:42,2022-07-20 20:07:44,80.75,2022-07-21 13:38:23
CS115670,2022-07-20 17:35:47,2022-07-20 17:35:51,2022-07-21 8:09:55,2022-07-21 9:18:55,"2,418.30",2022-07-21 12:28:28
