Renorun SKU,Feb 4,Feb 11,Feb 18,Feb 25,Mar 4,Mar 11,Mar 18,Mar 25,Apr 1,Apr 8,Apr 15,Apr 22,Apr 29,May 6,May 13,May 20,May 27,Jun 3,Jun 10,Jun 17,Jun 24,Jul 1,Jul 8,Jul 15
1102000740,202,318,239,154,192,600,944,862,569,554,857,719,747,569,564,558,911,911,866,767,767,288,268,311
1102000743,756,661,661,599,576,516,510,514,290,290,436,436,434,180,264,264,776,769,769,759,759,397,393,309
1503000804,376,376,376,361,341,332,332,332,521,516,516,511,509,484,434,431,585,761,751,751,751,675,565,427
1101001308,97,263,237,234,780,750,650,618,568,563,549,349,261,145,93,347,277,106,778,742,742,404,267,112
1702000026,37,29,41,16,10,7,600,832,830,822,772,771,743,735,734,733,733,733,738,735,735,715,715,697
2909003267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,800,770,770,730,730,730,730,730
1201000954,934,804,1037,883,812,730,710,611,543,548,473,983,890,1165,1050,922,532,595,403,729,729,178,143,97
1503000803,34,223,180,146,375,365,665,660,659,641,641,628,613,613,589,523,520,519,838,727,727,495,495,445
1000005934,0,0,0,0,0,0,0,0,50,50,50,50,50,50,158,158,50,0,50,720,720,720,839,839
1001000061,758,859,811,660,870,1624,1441,1412,1519,1551,1303,1103,423,499,419,1006,972,945,831,719,719,447,402,371
1101000696,506,455,448,448,223,93,38,0,0,504,860,801,667,573,437,203,1045,991,828,708,708,337,1201,1130
1000001540,224,224,224,224,224,224,224,524,951,928,855,855,789,775,715,705,705,705,705,705,705,705,705,705
1908001065,626,626,625,625,1165,1155,1155,1128,1100,1040,1012,986,947,934,897,893,837,816,733,694,694,565,531,466
1102000736,795,687,971,999,921,723,1192,759,608,840,1796,1549,1143,1500,1368,1187,1072,927,785,684,684,524,439,380
1101000646,457,390,393,352,319,300,336,335,296,257,340,173,153,109,50,523,233,116,203,681,681,0,418,328
1000001542,366,366,366,366,366,366,366,1339,1329,1241,1241,1241,1232,1212,1182,732,716,716,716,679,679,580,580,560
1003000043,648,505,1173,1009,951,826,798,590,1597,1389,1399,1283,997,753,905,847,1259,1078,904,670,670,389,279,220
1503000810,513,802,1070,1068,1000,1045,1045,1043,1042,1030,1028,1028,804,715,687,618,436,322,391,668,668,210,200,200
1001000074,446,329,262,318,267,310,253,247,122,75,69,52,145,28,0,593,503,437,738,661,661,606,581,512
1101000657,736,499,859,645,417,669,494,268,270,28,629,200,641,555,263,11,14,349,489,658,658,0,1319,1102
1101000653,720,466,149,99,487,1741,1498,1350,1302,2704,2658,2390,2300,2168,1693,1301,1230,1075,896,656,656,130,917,692
1201000956,1311,1265,1202,1155,1089,989,909,881,856,708,622,564,1504,1370,1268,1171,1086,1026,933,654,654,423,597,389
1000005768,0,0,0,0,0,0,0,512,512,760,756,756,749,744,742,740,736,979,729,653,653,638,632,555
1303000570,393,304,152,29,130,90,325,232,19,260,153,340,455,423,422,427,497,477,638,613,613,262,245,215
1306000602,81,139,136,134,134,129,129,127,124,150,140,124,679,668,655,645,636,727,612,605,605,590,582,583
1001000059,632,548,1071,696,841,690,867,641,565,675,615,270,399,522,173,0,403,497,756,598,598,271,141,1060
1000001551,146,100,100,100,100,100,100,100,140,140,140,140,120,120,120,120,120,612,612,596,596,457,449,449
1002000086,357,155,73,655,1016,738,468,1019,1001,546,664,505,379,311,264,547,799,959,760,593,593,418,292,137
1404001028,103,103,103,103,103,103,103,103,247,665,665,665,652,650,625,625,611,601,599,586,586,570,549,544
1000001557,27,27,27,27,27,27,27,27,51,687,687,681,668,666,645,636,632,616,603,582,582,552,552,543
1201000958,370,255,466,800,700,534,395,695,1197,1044,971,890,695,844,829,797,637,652,631,575,575,476,407,370
1401000187,263,263,263,584,584,836,1002,1001,1000,972,951,928,881,823,798,735,669,633,610,575,575,496,476,322
1104000712,414,414,413,399,397,397,395,394,637,629,605,597,597,597,593,587,583,583,574,574,574,556,556,536
1102000738,341,491,416,391,393,400,192,137,471,810,1080,1013,1011,994,852,816,757,715,708,560,560,252,152,144
1401000189,313,313,313,705,705,705,701,693,681,654,647,790,774,699,678,580,559,722,716,545,545,544,532,438
1001000067,285,392,325,511,417,334,477,433,335,109,45,0,0,0,204,206,594,654,635,545,545,412,389,370
2909002923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540,540,540,540,540,375,375
1000005649,0,0,0,0,0,0,660,660,770,770,770,770,750,736,736,706,690,652,541,515,515,466,424,424
1202000940,369,329,326,270,220,163,266,294,265,368,358,353,815,780,745,738,643,600,557,509,509,431,341,262
1505000755,56,56,56,56,56,56,56,56,56,0,0,0,97,97,97,95,95,543,542,508,508,506,506,509
2909003302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,500,500,500,500,500,500,500
2909003312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,500,500,500,500,500,500,500,500
1101000668,1040,797,1520,1298,814,293,141,0,1898,1564,1475,1274,954,568,1217,1086,859,542,825,498,498,708,469,282
1000005772,0,0,0,0,0,0,0,0,0,540,540,540,434,434,441,540,536,773,486,497,497,275,270,251
1101000697,307,294,267,262,258,245,183,123,73,294,194,186,156,11,0,147,568,552,513,497,497,418,373,326
2909002924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480,480,480,480,480,380,380
